Palabra	Texto	Folio	Página
Jamayca	como este cavallero dize que me urto a mi mi ystoria y se la yntitulo a el pues saven que tienen otro [sic por otra] mayor estorvo [sic por ystoria] ques las yslas de Canaria, San Juan, Santo Domingo, <i>Cuba</i>, <b>Jamayca</b>, todas las demas yslas y por tanto esa scriptura no lleva verdad ni autoridad aunque aprueba con Aristotiles y con otros ystoriadores evidentes porque aquellos estoriaron destas partes de España ya savidas y no de otras rigiones de <i>Yndias</i> no vistas me de a mi como primero y prinçipal de las cosas del <i>reyno</i> del <i>Peru</i> y como mas çierto historiador dellas y que mas verdad aya tratado y dicho porque esaria Magestad le encargo la conçençia , mire lo que se me debe de quarenta años de serviçio y se me de lo que pido	42v	190
Jaquixaguana	Fuese el presidente [Gasca] haçia el <i>Cuzco</i>. Ybasele llegando gene de la desbaratada de Zenteno y recogiasele mucha de una parte y otra. Allegado al valle de <b>Jaquixaguana</b> vido las banderas del tirano y alli se paso el liçençiado Çepeda por vista de todos con alguna gente. Hiço tirar el presidente un tiro haçia las tiendas del tirano y junto a par del tirano mato con una pelota un paje suyo y sin mas atençion muchos desanpararon al tirano y fue preso el y sus capitanes y traydas las cabeças dellos al <i>Cuzco</i> y dellas [sic: de alla] a la çiudad de Los Reyes a do estaran hasta que se consuman.	40v	186
Jauja/Jausa/Jauxa/Xauja/Xauxa	Tambien abian enviado desde <i>Guamanga</i> se fuese por <i>Ariquipa</i> a Garçia de Alvarado y que se volbiese la buelta del <i>Cuzco</i> a do llegaron estos dos a tiempo que se mataron entranvos como arriva digo. Tuvose notiçia que Baca de Castro estava en <b>Jauxa</b> y que venia con toda la gente, que se avia pregonado por governador. Envio del <i>Cuzco>/i> don Diego al jurado Gonçalo Hernandez y al liçençiado de la Gama - a que negoçiasen con Baca de Castro que no queria tener pasion 	31v-32r	167-168
Jauja/Jausa/Jauxa/Xauja/Xauxa	Mediante este tiempo alla arriba en el <i>Cuzco</i> en una <i>provinçia</i> de <i>Andaguaylas</i> rebelose un <i>señor</i> contra el <i>Guascar</i> queriendole tomar - el <i>Cuzco</i> y pidio favor a los <i>señores</i> <i>guancas</i> de <b>Jauxa</b> que le guardasen aquel paso si <i>Guaynacava</i> biniese o enviase contra el gente y los <i>guancas</i> se le ofreçieron de lo haçer.	47v-48r	200-201
Jauja/Jausa/Jauxa/Xauja/Xauxa	savido por el <i>Guascar</i> y por sus tios, adereçan su gente y vienen a reçevirle a la puente de <i>Apurima</i> y alli le desvarataron y bolvio fuyendo [sic por huyendo]. Yba tras el el <i>señor</i> de <i>Urcos</i> y <i>Moyna</i> con mucha gente. Yvale dando alcanze y el fuese retrayendo azia <b>Jauxa</b> creyendo que los <i>guancas</i> le favoreszerian y al fin fuese retrayendo haçia los <i>chachapoyas</i>	48r	201
Jauja/Jausa/Jauxa/Xauja/Xauxa	y esto asi ordenado fuese por su <i>camino</i> y alcanço a su gente en <i>Andaguaylas</i> y dase muy gran prisa a caminar y llegado a la <i>provinçia</i> - de <b>Xauxa</b> envio un <i>capitan</i> con mucha gente que fuese a <i>sacrificar</i> [a] la <i>guaca</i> de <i>Pachacama</i> y si de oro y plata que le ofreçiese 	46v-47r	198-199
Jauja/Jausa/Jauxa/Xauja/Xauxa	salimos luego de <i>Lima</i> en el mes de março y fuimonos haçia el <i>Cuzco</i> por <b>Xauja</b> y tuvimos cartas de Hernando Piçarro como avia dado la vatalla [a] Almagro en las salinas del <i>Cuzco</i> … y como en el <i>Cuzco</i> aviendose venido el capitan Pedro de Lerma a se curar avia entrado en su posada un Samaniego ... este Samaniego y otros dos de los <i>chachapoyas</i> que oy son vibos van a su posada y le acavaron de matar a estocadas estando Hernando Piçarro en el <i>Cuzco</i> y todos sus capitanes.	28r	160
Jauja/Jausa/Jauxa/Xauja/Xauxa	Pues abido y repartido el thesoro que en <i>Cajamarca</i> avido entre toda su gente y caballeros en la toma y muerte de <i>Atabalipa</i> fueronse el <i>camino real</i> hazia <b>Jauja</b> porque Diego de Agüero que fue a ver la tierra escrevio del thesoro que en <b>Jausa</b> avia visto en el <i>adoratorio</i> de los <i>indios</i> y llegado allí el governador [Francisco Pizarro] hizo sus partes de todo lo que allo y tomo y quiso fundar alli un <i>pueblo</i>...	15v	135
Jauja/Jausa/Jauxa/Xauja/Xauxa	y llegados [numerosos soldados y otros españoles]  a la <i>provinçia</i> de <b>Jauja</b> como estaban los <i>yndios</i> rebelados y los tomase divididos, los mataron [a los españoles] en <b>Jauja</b>, <i>Picoy</i> y <i>Angarais</i>.	18v	141
Jauja/Jausa/Jauxa/Xauja/Xauxa	mandole se detuviese en <b>Jausa</b> que le encaminaria toda la gente que beniese y castigase entre tanto a aquellos <i>yndios</i> que abian muerto a Morgovejo [sic por Mogrovejo] y su gente y a Gonçalo de Tapia y la suya.	20r	144
Jauja/Jausa/Jauxa/Xauja/Xauxa	si aquello Su Magestad sabla que avía de castigar a todos los [pizarristas] que se avian hallado en los malos tratamientos de aquel <i>señor</i> Manu ynga [sic por <i>Mango Inga</i>], rovos de su casa, plata y oro y fuerças de sus <i>mugeres</i> hechas y muertes de hombres; y capitanes que los <i>naturales</i> mataron en <b>Xauja</b> y <i>Picoy</i> y <i>Angaraes</i>, con el capitan Morgodexo y Gonçalo de Tapia.	24r	152
Jauja/Jausa/Jauxa/Xauja/Xauxa	El governador Piçarro antes que muriese avia proveydo de capitan a un Pero Alvarez Oliguin que avia sido amigo del adelantado Almagro por capitan que se entrase a los <i>moxos</i> y los poblase. Con alguna gente enviaron los vezinos del <i>Cuzco</i> por el y ue viniese a bolver por ellos y fuese su capitan ofreçiendole dineros y armas y cavallos y todo lo que quisiese y que lebantase bandera y les favorezca en sonbre de su magestad e ajuntaron la gente que pudieron y avaxaronse haçia <b>Xauxa</b> Alonso de Alvarado y sus <i>chachapoyanos</i>.	30v	165
Jauja/Jausa/Jauxa/Xauja/Xauxa	murio Juan de Herrada en <b>Xauxa</b> alzaronse los vezinos desta <i>çiudad</i> por el rey porque se tubo notiçia que benia Baca de Castro por la via de <i>Popayan</i> y <i>Quito</i>	31r	166
justiçia y raçon	y al que le cupiese y pertenesçiese aderezar el <i>camino</i> lo tubiese adereçado y los <i>tanbos reales</i> y <i>casas de los caminos reales</i> estubiesen adereçados y proveydos de manera que todos tubiesen <b>justiçia y raçon</b>	46r	197
La Nasca	[Françisco Piçarro] encaminolos que se fuesen haçia <b>La nasca</b> por los llanos y el quedose en <i>Lima</i> y embio con alguna gente a Montenegro, vezino que fue a los atadillos [sic por <i>atauillos</i>] y Guanico [sic por <i>Guanuco</i>] y diese guerra a vn <i>Hilla Topa</i> <i>ynga</i> que andaba por ay perturbando el serviçio de los <i>yndios</i> y el governador [Almagro] fuese tras el licençiado Espinosa y los mas capitanes y alcançolos en el valle de Hinche  [sic por <i>Chincha</i>. Fueronse todos haçia <b>La nasca</b>.	22r	148
La Puna	Abiase fuido [sic por huido] de la <i>çiudad</i> de Los Reyes el obispo frai Biçente de Valverde y el doctor Velazques, su cuñado y un Hordaz y otros y fueron a dar a la ysla de laguna [sic por <b>La Puna</b>] y alli los mataron los <i>indios</i> y los comieron con <i>axi</i>.	31v	167
La Puna	Y estando [Guayna Capac] en el <i>Cuzco</i> quieto y paçifico inieronle nuevas que los <i>chonos</i> y <i>guancavilcas</i> en La Culata se le avian revelado contra su <i>governador</i> <i>señor</i> de <b>La Puna</b>. Aperçivio toda su gente de guerra y toma sus <i>capitanes</i> e ynbialos que bayan haçia [a]lla poco a poco y el quedose en el <i>Cuzco</i> con su hijo el <i>Guascar</i> que era el mayorazgo y ordeno que quedasen por sus ayos y <i>governadores</i> <i>Ylla Oma Tizo</i>, su primo <i>Yupangui</i>, tambien su primo <i>señor</i> de <i>Urcos</i> y [de] <i>Moyna</i>. 	46v	198
La Puna	y enbiaron a llamar al <i>señor</i> de <b>La Puna</b> y benidos que fueron se fueron con ellos en valsas y abajado Guirynacava [sic por <i>Guaynacava</i>] a la ysla y el <i>Guaynacava</i> se abajo al paso y [tomo] presos algunos <i>señores</i> de los <i>chunos</i> y <i>guancavelicas</i>. Los hizo matar y puso otros en su lugar; como todos le diesen obediençia, se torno a subir a los <i>cam[inos]</i>.	47r	199
Lataconga	diose prisa Carabajal y alcançolo [a Machicao] en un <i>pueblo</i> que se llama <b>Lataconga</b> y alli le dixo lo que le avian dicho a Piçarro como benia temiendo no se pasase al bisorrey con aquella gente, pues yendo dando alcanze al desdichado cavallero [el Virrey] ybanse con el algunos vezinos de <i>Quito</i>	36r	176
lengua	y en <i>Quito</i> dizen fue alto de cuerpo y delgado y mui bien hablado en su <b>lengua</b> y amigo de pobres y honbre que oya a todos los menores de mui buen grado y al hombre que era malo aunque era <i>señor</i> mostravase contra el cruel y era hombre mui atentado que nunca el enojo le bençio ni por afiçion dexo de haçer justiçia y pues <i>señoreo</i> desde la <i>provinçia</i> de <i>Chile</i> hasta rio Caliente ques mas adelante de <i>Pasto</i> que ay del un cavo al otro pasadas de dos mil y doçientas leguas y la tierra dentro por los <i>Andes</i> y montañas zerca de ochenta o çien leguas desde la costa haçia alla	43r	191
lengua	Estava con el governador [Françisco Piçarro] una <b>lengua</b> que se llamaba [F]elipillo y este <i>Atabalipa</i> tenia una <i>india</i> <i>señora</i> mui hermosa que despues de bautizada la llamaron Angelina y esta <b>lengua</b> enamorado della arguyo el <i>Atabalipa</i> que queria rebelarse y matar a los cristianos e hiçoselo entender al governador. Creyendoselo Piçarro hazelo matar por donde pago el tirano [Atavalipa] la muerte de su hermano [Guascar]. Esta <b>lengua</b> fue el que se quiso rebelar en <i>Chile</i> y matar al adelantado Almagro y a su gente savido estar revelado el <i>Peru</i>.	50r	205
lengua yndio/lengua de los yndios	como llegase la nueva a <i>Chile</i> de la rebelión de <i>MangoInga</i> en el <i>Peru</i> y mostrasen los <i>yndios</i> una cabeza de un hombre muerto con canas paresçia al governador Piçarro un fili - pillo <b>lengua yndio</b> propuso de se levantar con la tierra y matar a Almagro y a toda su gente. Como se entendiese la bellaqueria, hizieron justiçia de él y de otros bellacos como él.	20v	145
lengua yndio/lengua de los yndios	tenian noticias ser muerto el governador Piçarro y tomada toda la tierra de los <i>naturales<i> y tomando <b>lengua de los yndios</b> para bolverse por los llanos por no bolver por los puertos de niebe y sierras por donde avia ydo tuvo muy grande ardi [sic] a la buelta que sabido aver poca agua por los <i>caminos</i> embio <i>yndios</i> con españoles que abriesen los poços / del agua y encamina su gente de doze en doze con su servicio por que fuesen proueidos de agua porque el quiso quedarse en <i>Chile</i> con alguna gente	20v-21r	145-146
Lima	ya el gobernador Pizarro habia enviado a Niculas de Ribera el viejo a ver a <i>Pachacama</i> creyendo de poblar alli y los <i>naturales</i> le llevaron al valle de <b>Lima</b> y le mostraron el puerto del Callaoy de alli se subio al <i>tambo real</i> de <i>yunga</i> [sic por yngia] y alli fundo la <i>ciudad</i> de Los Reyes.	16r	136
Lima	[El governador Francisco Piçarro conminó a] Alonso de Alvarado, que andaba conquistando el <i>Chachapoes</i> que se viniesen y aviso a los vecinos de Truxillo despoblasen el pueblo y se fuesen a <b>Lima</b> porque estaba en terminos de se perder la tierra … despacho a Juan de Berrio que fuere a <i>Panama</i> y hiziese gente y con brevedad se beniese. Escreuio a <i>Nicaragua</i> le encaminase quanta gente pudiese que estaba la tierra en terminos de se perder.	19v	143
Lima	[Lerma] avia puesto su vida en defender la <i>ciudad</i>, él y sus amigos; salió Alonso de Albarado de su entrada de los chuchapes [sic <i>chachapoes</i>] y binose a Truxillo y de Truxillo fuese a <b>Lima</b> y binose a <b>Lima</b>; como llegase con su gente acordo se fuese al <i>Cuzco</i> a socorrerle...	20r	144
Lima	[Françisco Piçarro] encaminolos que se fuesen haçia <i>La nasca</i> por los llanos y el quedose en <b>Lima</b> y embio con alguna gente a Montenegro, vezino que fue a los atadillos [sic por  <i>atauillos</i>] y Guanico [sic por <i>Guanuco</i>] y diese guerra a vn <i>Hilla Topa</i> <i>ynga</i> que andaba por ay perturbando el serviçio de los <i>yndios</i> y el governador [Almagro] fuese tras el licençiado Espinosa y los mas capitanes y alcançolos en el valle de Hinche [sic por <i>Chincha</i>]. Fueronse todos hazia <i>La nasca</i>.	22r	148
Lima	Benido yo Alonso Vorregan a mi casa de Truxillo bino cartas del obispo frai Vicente de Valverde de España por obispo del <i>Cuzco</i> y del <i>Peru</i>. Rogaronme los vezinos que llevase aquellas cartas y que ellos escrivirian al governador en mi favor y porque aquellas cartas fuesen con brevedad y a recado las lleve en çinco dias desde Truxillo a <b>Lima</b> y se las di al governador Piçarro y me ofreci de las llevar al <i>Cuzco</i> y darlas a Hernando Piçarro	27v-28r	159 -160
Lima	salimos luego de <b>Lima</b> en el mes de março y fuimonos haçia el <i>Cuzco</i> por <i>Xauja</i> y tuvimos cartas de Hernando Piçarro como avia dado la vatalla [a] Almagro en las salinas del <i>Cuzco</i> … y como en el <i>Cuzco</i> aviendose venido el capitan Pedro de Lerma a se curar avia entrado en su posada un Samaniego ... este Samaniego y otros dos de los <i>chachapoyas</i> que oy son vibos van a su posada y le acavaron de matar a estocadas estando Hernando Piçarro en el <i>Cuzco</i> y todos sus capitanes.	28r	160
Lima	y como el visorrey [Blasco Nuñez Vela] enviase a llamar al governador Baca de Castro que se viniese a <b>Lima</b> y biniesen con el muchos vezinos del <i>Cuzco</i>, Machicao y Gaspar Rodriguez hermano de Pero Anzules aviase benido el governador Vaca de Castro a ber con el visorrey con solos sus criados.	32v	169
Lima	y con brevedad se viniese [Hernan de Alvarado] y le enviase todos los vezinos de Truxillo y San Miguel y a La Culata y <i>Quito</i> y a Puerto Biejo so pena de traydores a la Corona Real. Todos se hiçieron sordos e ninguno acudio ni Alvarado tampoco. Hordenose en <b>Lima</b> una bellaqueria contra el desdichado Bisorrey y enduzieron a Çepeda y a los Oydores Texada y Ramirez prendiesen al Visorrey ofreçiendoles grandes dadibas porque lo hechasen de la tierra y para esto hizo alguaçil mayor a un Çepeda questa oy dia en Salamanca.	33v	171
Lima	Y como escriviesen de <b>Lima</b> los criados de Baca de Castro con un <i>yndio</i> una carta de como Baca de Castro hera ydo a España y no avia aparejo de haçer lo questava conçertado, que se biniesen haçia <b>Lima</b> pues como Gonçalo Piçarro beniese caminando haçia <b>Lima</b> traya por su maese de campo a un Toro, vezino del <i>Cuzco</i>. Tornolo a enviar al <i>Cuzco</i> porque hera - casado e hiço maese de campo a Caravajal e binose caminando haçia la <i>çiudad</i> de Los Reyes.	33v-34r	171-172
Lima	Los vezinos que desterro a <i>Chile</i> el tirano [Gonçalo Piçarro] de <i>Quito</i> que los llebava un capitan Ulloa queriendose enbarcar con ellos en un barco la costa arriba de <b>Lima</b> alzaronse con el varco y fueronse a la Nueba España y dexaron al tirano de Ulloa en tierra. Yba entre ellos don Alonso de Montemayor que Su Magestad podra enbiar a llamar e ynformarse del de todas las cosas de aquel tirano y de la tierra.	38r	181
Limaycasca	Benimos al valle de Hincha [sic por <i>Chincha</i>] y Almagro fuese de alli hazia el valle de <i>Uymay</i> a do tenia hecho un <i>pueblo</i> y subiose a un asiento y <i>casa de ynga</i> que se dize <b>Limaycasca</b>.	26v	157
Limaycasca	Salimos de <i>Chincha</i> y fuimos al valle de <b>Limaycasca</b> que se dize <i>Sangallay</i> y tenia alli poblado Almagro un pueblo … fuimonos al <i>tambo</i> pintado porque el Adelantado don Diego de Almagro se subio por el valle arriba azia Guytara [sic por <i>Guaytara</i>]. Alli asentamos real y tuvimos neçesidad de comida y fue embiado a un Felipe Voscan al valle de <i>Yca</i> con gente que la truxese y fue con el un Villacastin vecino del conozco [sic por <i>Cuzco</i>]	27r	158
Limaycasca	Enbio a <i>Chile</i> un Baldivia que hiço mahese de campo en el valle de <i>Chincha</i> quando mudo a todos los capitanes Hernando Piçarro y porque avia aorcado un soldado porque se avia adelantado alli al valle de <b>Limaycasca</b>… y llevo consigo este Valdivia algunos de aquellos que con Almagro avian ydo primero y poblo en <i>Chile</i>.	29v	163
llamas	Pudieronlo haçer a su salvo porque eran ya muerto sus tios. Estando en <i>Cajamarca</i>tubo notiçia [Atabalipa] que benian los christiaos y que benian en unas <b>llamas</b> que pensaron estos que eran obejas porque ellos no tenian notiçia de cavallos. 	49r	203
llautu	Llego Gonçalo Piçarro a <i>Guamanga</i> y binose a una puente y cuesta de <i>Parcos</i> y envio a Caravaxal, su maese de campo, delante y topo aquel <i>yndio</i> que llebaba la carta de los criados de Vaca de Castro y tomosela de un tocado de la cabeça [sic por <b>llautu</b>] en que la llevaba atada. No se yo lo que en ella yba mas de que aorco a Gaspar Rodriguez y a un Felipe Gutierrez y a otros vezinos del <i>Cuzco</i>.	34r	172
Loysa puruaes	Llegó al rio <i>Banba</i> don Diego de Almagro; ya don Pedro [de Alvarado] y su gente estaba en la <i>provincia</i> de <b>Loysa puruaes</b>	16r	136
lucanas	alli supieron del adelantado Almagro como estaba en los <b>lucanas</b> y traia preso a Hernando Piçarro y a Gonçalo su hermano	22r	148
Lugani	huyose Diego de Agüero con otros soldados por el valle de <b>Lugani</b>, su repartimiento.	18v	141
Luiza/Luiça	Pues como Machicao, que el tirano Gonçalo Piçarro enbio a <i>Panama</i>, ubiese hecho mucha gene y muchos agravios, enbarcose con ella y binose haçia <i>Tunbez</i> y desenbarcose alli y fuese el rio arriba haçia <i>Chinpo</i>, que es camino de <i>Quito</i> y alli desembarco y se subio haçia la sierra y se fue haçia <b>Luiza</b> a tienpo que bisorrey se retraya haçia <i>Quito</i> y el tirano Caravajal, maese de campo, le yba dando alcançe	36r	176
Luiza/Luiça	Mediante este tiempo se supo como benia el presidente Pedro de la Gasca, saliose el tirano Pedro de Puel[l]es de <i>Quito</i> con mucha gente haçia <b>Luiça</b> y enbio a un soldado que se avia casado alli con una <i>muger</i> de un vezino que avia el muerto un tirano que se llamava Marmolexo y enviolo a <i>Guayaquil</i> para saver de Gomez Destaçio questava por corregidor si tenia nuebas de <i>Panama</i>	38v	182
Lunaguana	Fuimos al valle de <i>Mala</i> toda la gente con el governador Plçarro y otro día al tendillo de Navarro y alli descansamos dos dias y nos fuimos de alli hazía el valle de Guherio [sic por <i>Guarco</i>] y valle de <b>Lunaguana</b>.	24v	153
Lunaguana	y de alli nos fuimos al valle y nos pasamos de largo y pasamos el rio de <b>Lunaguana</b> y a la voca del arenal açia <i>Chincha</i> asentamos real en unas fuentes que alli estaban	25r	154
maiz/mayz	Mando haçer junto [a] aquellas <i>casas</i> en lo alto en la sierra unas como camarillas [sic por <i>depositos</i>] por su orden por toda la sierra para depositar y poner lana, ropa <i>ojotas</i> <i>guaracas</i> y otras cosas que en las <i>provinçias</i>pudiesen aver carne seca que ellos llaman <i>charque</i>, <i>papas secas</i>  que ellos llaman - <i>chuño</i>, <i>oca</i>, <b>maiz</b> de todas las cosas que en las <i>provinçias</i> avia haçia poner en aquellos <i>depositos</i>	44r-44v	193-194
maiz/mayz	Abajose don Diego de Almagro el moço con todos sus amigos a esperar a Baca de Castro quando llegase a la <i>çiudad</i> de Los Reyes y poso en unas casas que le dexo un conquistador que se llamava Domingo de la Presa. Aviale quitado una estançia el governador Piçarro al don Diego de donde le traian yerva y <b>mayz</b> para su casa y caballos. Quitosela el governador y diola a dos vezinos que se llamavan el uno Palomino y el otro Juan de Barrios.	30r	164
maiz/mayz	en las sierras ay otra orden que en los llanos, que los <i>yndios</i> que texen e ylan e haçen ropa llaman <i>cunbicos</i> que nosotros llamamos texedores y a las <i>mugeres</i> les haçia trabajar y azer comidas y senbrar sus legunbres, <i>papas</i>, <b>mayz</b> o la <i>quinoa</i>, <i>camotes</i> que en Santo Domingo llamavan <i>vatatas</i>, calavazas que en otra parte les llaman <i>auyamas</i>	43v	192
Mala	Bino Almagro a berse con el governador Piçarro al balle de <b>Mala</b> y traxo a Diego de Alvarado y a otros cavalleros consigo	24r	152
Mala	Fuimos al valle de <b>Mala</b> toda la gente con el governador Plçarro y otro día al tendillo de Navarro y alli descansamos dos dias y nos fuimos de alli hazía el valle de Guherio [sic por <i>Guarco</i>] y valle de <i>Lunaguana</i>.	24v	153
Mango Inga	[y como] Hernando de Piçarro estubiese en el <i>Cusco</i>, pedia a <b>Mango Inga</b> oro y plata, que dizen los que alli se hallaron le dio muchos dineros y pediendole el thesoro de su padre <i>Guainacaba</i> dixole que él no sabia del porque era mochacho, que si su hermano el <i>Guascar</i> estubiera vibo, él tubiera cuenta con el...	18r	140
Mango Inga	como llegase la nueva a <i>Chile</i> de la rebelión de <b>Mango Inga</b> en el <i>Peru</i> y mostrasen los <i>yndios</i> una cabeza de un hombre muerto con canas paresçia al governador Piçarro un fili - pillo <i>lengua yndio</i> propuso de se levantar con la tierra y matar a Almagro y a toda su gente. Como se entendiese la bellaqueria, hizieron justiçia de él y de otros bellacos como él.	20v	145
Mango Inga	si aquello Su Magestad sabla que avía de castigar a todos los [pizarristas] que se avian hallado en los malos tratamientos de aquel <i>señor</i> Manu ynga [sic por <b>Mango Inga</b>], rovos de su casa, plata y oro y fuerças de sus <i>mugeres</i> hechas y muertes de hombres; y capitanes que los <i>naturales</i> mataron en <i>Xauja</i> y <i>Picoy</i> y <i>Angaraes</i>, con el capitan Morgodexo y Gonçalo de Tapia.	24r	152
Mango Inga	Tubo otro hijo este <i>Gu[a]ynacava</i> mediano que le llamaron <b>Mang[o] Inga</b> y este fue el que se rebelo con el <i>reyno</i> del <i>Peru</i> y una hija que se llamo <i>Marca Chinbo</i>. Estos tres fueron legitimos.	46v	198
Mango Inga	y porque sera bien dar quenta de quien fue <i>Guaynacaba</i> y su hijo el <i>Guascar</i> y <b>MangoInga</b> y <i>MarcaChinpo</i> <i>muger</i>. Estos hijos de <i>Guainacaba</i> aunque contemos al rebes y digamos de <b>MangoInga</b> que se rebelo con los <i>reynos</i> del <i>Peru</i>, tornaremos a dezir de su padre <i>Guainacaba</i> la virtud y exçelençia que tubo en governar aquellos <i>reynos</i> y tenellos en paz	43r	191
Maracapana	con ebidente raçon y bastante ynformaçion se puede entender y creer que los pobladores de nuestra España pudieron aportar a las partes del sur por el mar oçeano por las raçones ebidentes y de autoridad Çesarea Magestad estando toda la tierra firme que encomiença desde la Nuruega y corre la costa a La Florida y rio de Palmas y Nueba España, <i>Yucatan</i> y Honduras, <i>Nicaragua</i>, Desaguadero de <i>Nicaragua</i>, Deragua [sic por <i>Beragua</i>], Nonbre de Dios, <i>Senu</i>, Cartaxena, Rio Grande Santa Marta, <i>Tapiparaguna</i>, Cabo de la Bela, Golfo de Neçuela [sic por Nicuesa], <i>Coquiguacoa</i>, la isla de <i>Aruba</i>, Urazao [sic por <i>Curazao</i>], <i>Paguachoa</i>, Barequiçinleto [sic por <i>Barquisimeto</i>], <i>Tucuyo</i>, <i>Burburata</i>, <b>Maracapana</b>, la punta y cabo de <i>Araya</i> y de la buelta a la costa, <i>Auyapal</i>, <i>Marañon</i>, rios que dezienden del <i>Peru</i> y Nuebo Reyno y prosigue la costa al <i>Brasil</i> y al rio de la plata y va al estrecho de Magallanes y va adelante la costa hasta llegar a la espeçeria debajo del sol	42r	189
Marañon	con ebidente raçon y bastante ynformaçion se puede entender y creer que los pobladores de nuestra España pudieron aportar a las partes del sur por el mar oçeano por las raçones ebidentes y de autoridad Çesarea Magestad estando toda la tierra firme que encomiença desde la Nuruega y corre la costa a La Florida y rio de Palmas y Nueba España, <i>Yucatan</i> y Honduras, <i>Nicaragua</i>, Desaguadero de <i>Nicaragua</i>, Deragua [sic por <i>Beragua</i>], Nonbre de Dios, <i>Senu</i>, Cartaxena, Rio Grande Santa Marta, <i>Tapiparaguna</i>, Cabo de la Bela, Golfo de Neçuela [sic por Nicuesa], <i>Coquiguacoa</i>, la isla de <i>Aruba</i>, Urazao [sic por <i>Curazao</i>], <i>Paguachoa</i>, Barequiçinleto [sic por <i>Barquisimeto</i>], <i>Tucuyo</i>, <i>Burburata</i>, <i>Maracapana</i>, la punta y cabo de <i>Araya</i> y de la buelta a la costa, <i>Auyapal</i>, <b>Marañon</b>, rios que dezienden del <i>Peru</i> y Nuebo Reyno y prosigue la costa al <i>Brasil</i> y al rio de la plata y va al estrecho de Magallanes y va adelante la costa hasta llegar a la espeçeria debajo del sol	42r	189
Marca Chinpo/Marca Chinbo	Tubo otro hijo este <i>Gu[a]ynacava</i> mediano que le llamaron <i>Mang[o] Inga</i> y este fue el que se rebelo con el <i>reyno</i> del <i>Peru</i> y una hija que se llamo <b>Marca Chinbo</b>. Estos tres fueron legitimos.	46v	198
Marca Chinpo/Marca Chinbo	y porque sera bien dar quenta de quien fue <i>Guaynacaba</i> y su hijo el <i>Guascar</i> y <i>MangoInga</i> y <b>MarcaChinpo</b> <i>muger</i>. Estos hijos de <i>Guainacaba</i> aunque contemos al rebes y digamos de <i>MangoInga</i> que se rebelo con los <i>reynos</i> del <i>Peru</i>, tornaremos a dezir de su padre <i>Guainacaba</i> la virtud y exçelençia que tubo en governar aquellos <i>reynos</i> y tenellos en paz	43r	191
mayordomos	proveyo [el governador] que se pusiese guarda en los <i>ganados</i> y tubiesen <i>quenta y raçon</i> en lo que montiplicaban [sic] para dar al sol el diezmo y la lana que se trasquilase del <i>ganado</i> fuese guardada en <i>depositos</i> para el sol y los <i>depositos</i> para su misma persona y de sus mismos tributos estubiese por si como lo del sol y se pusiese <i>yndios</i> que lo mirasen y guardasen que se llamaban <i>camayos</i> del sol y <i>camayos</i> del <i>ynga</i> y <i>camayos</i> de los <i>tanbos reales</i>; puso <b>mayordomos</b> en las minas de oro y plata	45r	195
mensajero/mensajeros	y como aquel tirano de <i>Atabalipa</i> lo supo temiendose que matarian a el y davan al <i>Guascar</i> el <i>señorio</i>, determina de haçerse malo y enbio a llamar al governador Piçarro que le benia nuebas que el <i>Guascar</i> su hermano era muerto y como el goernador lo oyo respondiole no se te de nada pues tu estas vivo y despacha <b>mensajero</b> que lo matasen. 	49v	204
mensajero/mensajeros	Así encaminada su gente de doze en doçe como digo vinieron proueidos de todo lo nesçesario y el quedose a la postre con algunos capitanes; luego se supo de su venida y como lo supiese el <i>ynga</i> que estaba sobre el <i>Cuzco</i> y lo tenia zercado, alço el çerco y fuese al valle de <i>Tanpo</i> a verse con el adelantado y enviole sus <b>mensajeros</b> a hazerle saver el agravio que le avian hecho y sínjustiçia y mal tratamiento y estuvole esperando el adelantado en el valle de <i>Urcos</i>.	21r	146
mercado/mercados	ordeno <b>mercados</b> en todos los <i>pueblos</i> y <i>provinçias</i> que alli saliesen a vender y rescatar todo lo que tubiesen y que puso hombres que mirasen no se hiçiese agravio en aquellos <b>mercados</b> y solo en el <b>mercado</b> del <i>Cuzco</i> ordeno que el que metiese oro o plata o <i>ropa</i> que sacase otra cosa en reconpensa de aquello y no aquello que metia	46r	197
Mira	[Guaynacava] yba visitando toda la tierra haçia <i>Quito</i> por todos los <i>puruaes</i> y llegado a <i>Quito</i> supo que estava un <i>señor</i> que se llamava <i>Otavalo</i> y señoreaba los <i>carangas</i> y posto [sic por <i>pastos</i>] y va sobre el con toda su gente y el otro saliole a reçevir con mucha gente açerca de una laguna frontero de una <i>provinçia</i> que llaman <b>Mira</b> y alli junto a la laguna se dieron una vatalla entranvos a dos que dizen ser la cosa mas reñida que entre <i>yndios</i> se vio	47v	200
mitayos	y a estos mudados les haçia servir en las <i>casas de los caminos reales</i> que los <i>yndios</i> les llamavan <b>mitayos</b>. Partio los terminos a las <i>provinçias</i> y a los valles y señaloles hasta a donde avian de adereçar el <i>camino real</i> y a cada <i>parçialidad</i> y <i>señor prinçipal</i> que en las <i>provinçias</i> avia por su cuenta y <i>quipo</i> quellos llamavan, hasta adonde avia de adereçar el <i>camino</i> cada <i>parçialidad</i>	43v	192
